CID,train_mae,test_mae,train_mse,test_mse,train_mape,test_mape,lstm_train_mae,lstm_test_mae,lstm_train_mse,lstm_test_mse,lstm_train_mape,lstm_test_mape
11,2.2019109740205134,2.0232073104688517,2.849553478941283,2.3390159325302835,0.017121880045615396,0.01331597132732499,2.73586558327746,3.99286994934082,3.604008097244498,4.21463356132003,0.020945115539106808,0.026264120473734037
9,1.2465707525504723,1.7009416508492654,1.455285029570487,2.102733809733912,0.014541276223509288,0.021887628006766382,1.2536874602561785,1.9376327381963292,1.4885440748902052,2.35344950809317,0.014586363748794424,0.02519817876094268
15,21.21826145576872,7.8953680415469405,39.894790187319636,9.983813560099163,0.05929556623236931,0.03552497616368753,36.21020789647638,11.300597377808623,58.12867650214134,13.37472800626808,0.07922223907089378,0.04742214357270643
10,5.3078885597881085,3.7751148031197745,6.824028658965703,4.860653227863478,0.015869693631053037,0.011496690293607439,5.9709309026121185,5.27982058641387,7.820306714323982,6.571743725435446,0.018041136344667107,0.016209693819181595
4,23.417507015861645,4.245086884582669,41.9091715376371,4.930995286017402,0.07627641646126665,0.0309071936192724,63.372504390148414,15.717665698402806,110.50959950335593,16.170895420248918,0.09718051772184493,0.11430826008395231
2,5.696767616741043,5.904966240750034,7.380509202730999,8.24215333559473,0.034077728871950534,0.022457624205577197,5.911079240278761,3.632267717633941,7.577047903619576,5.5151694406142076,0.034982692700414104,0.01437267144433146
1,6.007609314645038,4.082659524046414,7.469874050080517,4.948676851625042,0.021886798129534826,0.01167875158874924,6.0684575496000415,4.185786999688632,7.557066413884443,5.093320578031432,0.022104423062895794,0.012013457638981791
3,2.6726651675212607,3.3159055269841606,3.4462286619982714,4.027234838927123,0.01735006307240883,0.01819925715078406,2.723833982264273,3.692319460586761,3.5202572540728494,4.445657681635847,0.017692525767120663,0.0202560409740736
13,0.7416981997336747,0.6202931816552164,0.9753558789795149,0.8025932654438168,0.019833355633230167,0.02024336039322316,0.9102515945434565,0.801664373935797,1.1306122051762384,0.9879417649666503,0.023803176273045033,0.0267068632797638
12,2.0580334153507067,17.074338293374296,2.8906825565025476,17.39393373099104,0.005414177116777749,0.04235857788524243,5.071463928222656,9.74413116455078,5.387947827645033,10.626914708493581,0.0139373542207931,0.024745351832711947
14,4.053636845422796,8.05696580863459,5.25800025571527,9.696389422248066,0.024013457320001486,0.03698720562421206,4.1917813639558155,8.22808362960815,5.398056768855143,9.865744646564915,0.02479262966867976,0.03780503714461482
16,0.3048176461778664,0.2710773756690893,0.38584094981823813,0.46405226561456614,0.023152852189983093,0.025370588326862394,0.32727425482214945,0.2507251614940407,0.42207387529570156,0.4449026446678037,0.024347170587628468,0.02375927964995513
